code,LISA_Cluster,LISA_P_Value
E01000279,0,0.254
E01000280,0,0.127
E01000281,0,0.478
E01000282,0,0.279
E01000283,0,0.455
E01000284,0,0.441
E01000285,0,0.138
E01000286,0,0.075
E01000287,0,0.198
E01000288,0,0.491
E01000289,0,0.378
E01000291,0,0.261
E01000292,0,0.247
E01000293,0,0.292
E01000294,0,0.052
E01000295,0,0.472
E01000296,0,0.45
E01000297,0,0.414
E01000298,0,0.337
E01000299,0,0.425
E01000300,0,0.283
E01000301,0,0.484
E01000302,0,0.337
E01000303,0,0.076
E01000304,3,0.025
E01000305,0,0.171
E01000306,0,0.288
E01000307,0,0.196
E01000308,0,0.39
E01000309,0,0.329
E01000310,0,0.203
E01000311,0,0.445
E01000312,0,0.435
E01000313,0,0.406
E01000314,0,0.232
E01000315,0,0.2
E01000316,0,0.486
E01000317,0,0.4
E01000318,0,0.292
E01000319,0,0.387
E01000320,0,0.384
E01000321,0,0.341
E01000322,0,0.289
E01000323,0,0.238
E01000324,0,0.348
E01000325,1,0.004
E01000326,1,0.003
E01000327,1,0.008
E01000328,1,0.046
E01000329,0,0.125
E01000330,1,0.017
E01000331,0,0.438
E01000332,0,0.123
E01000333,1,0.015
E01000334,0,0.063
E01000335,0,0.279
E01000336,0,0.064
E01000337,0,0.203
E01000338,0,0.394
E01000339,1,0.003
E01000340,1,0.033
E01000341,1,0.002
E01000342,1,0.012
E01000343,1,0.002
E01000344,1,0.015
E01000345,1,0.002
E01000346,1,0.007
E01000347,1,0.002
E01000348,1,0.01
E01000349,1,0.006
E01000350,1,0.002
E01000351,1,0.002
E01000352,1,0.002
E01000353,1,0.002
E01000354,1,0.002
E01000355,1,0.002
E01000356,1,0.002
E01000357,1,0.002
E01000358,1,0.002
E01000359,1,0.001
E01000360,1,0.003
E01000361,1,0.006
E01000362,0,0.071
E01000363,1,0.031
E01000364,0,0.053
E01000365,1,0.002
E01000366,1,0.002
E01000367,1,0.011
E01000368,1,0.002
E01000369,1,0.002
E01000370,1,0.002
E01000371,1,0.002
E01000372,1,0.015
E01000373,0,0.325
E01000376,0,0.177
E01000377,0,0.053
E01000380,1,0.013
E01000382,0,0.269
E01000384,0,0.282
E01000385,0,0.5
E01000386,0,0.119
E01000387,0,0.145
E01000388,1,0.039
E01000389,1,0.009
E01000390,0,0.061
E01000391,2,0.002
E01000392,1,0.016
E01000393,1,0.002
E01000394,1,0.002
E01000395,0,0.289
E01000396,0,0.166
E01000398,0,0.226
E01000399,1,0.007
E01000400,0,0.136
E01000401,1,0.039
E01000402,1,0.011
E01000403,0,0.172
E01000404,0,0.463
E01000405,0,0.248
E01000406,0,0.241
E01000407,1,0.036
E01000408,0,0.39
E01000409,1,0.01
E01000410,1,0.002
E01000411,1,0.002
E01000412,1,0.002
E01000413,1,0.002
E01000414,1,0.002
E01000415,1,0.002
E01000416,4,0.003
E01000417,0,0.131
E01000418,3,0.016
E01000419,0,0.457
E01000420,0,0.074
E01000421,1,0.002
E01000422,3,0.01
E01000423,0,0.134
E01000424,0,0.379
E01000425,1,0.021
E01000426,0,0.194
E01000427,4,0.022
E01000428,0,0.227
E01000429,0,0.325
E01000431,0,0.337
E01000432,0,0.436
E01000433,0,0.153
E01000435,1,0.014
E01000436,1,0.002
E01000437,1,0.002
E01000438,1,0.011
E01000439,1,0.002
E01000440,1,0.002
E01000441,1,0.002
E01000442,1,0.002
E01000443,0,0.063
E01000445,0,0.14
E01000446,1,0.012
E01000447,0,0.434
E01000448,0,0.107
E01000449,0,0.448
E01000450,0,0.08
E01000451,1,0.025
E01000452,1,0.002
E01000453,1,0.002
E01000454,1,0.007
E01000455,1,0.002
E01000456,1,0.002
E01000457,0,0.294
E01000458,0,0.472
E01000459,0,0.381
E01000460,1,0.004
E01000461,1,0.025
E01000462,2,0.022
E01000463,0,0.131
E01000464,3,0.006
E01000465,3,0.022
E01000466,3,0.011
E01000467,3,0.001
E01000468,3,0.042
E01000469,3,0.002
E01000470,3,0.005
E01000471,1,0.031
E01000472,1,0.013
E01000473,1,0.003
E01000474,1,0.012
E01000475,0,0.051
E01000476,1,0.004
E01000477,1,0.046
E01000478,1,0.015
E01000479,0,0.185
E01000480,0,0.116
E01000481,0,0.268
E01000482,0,0.39
E01000483,0,0.053
E01000484,0,0.072
E01000485,0,0.405
E01000486,0,0.381
E01000487,2,0.015
E01000488,0,0.152
E01000489,0,0.223
E01000490,3,0.01
E01000491,3,0.021
E01000492,0,0.285
E01000493,0,0.435
E01000494,3,0.048
E01000495,3,0.017
E01000497,0,0.377
E01000498,0,0.253
E01000499,0,0.257
E01000501,0,0.403
E01000502,0,0.239
E01000503,0,0.228
E01000504,0,0.419
E01000505,0,0.385
E01000506,0,0.277
E01000507,0,0.297
E01000508,0,0.321
E01000509,0,0.174
E01000510,0,0.466
E01000511,0,0.243
E01000512,0,0.393
E01000513,0,0.289
E01000514,0,0.179
E01000515,0,0.29
E01000516,0,0.462
E01000517,0,0.421
E01000518,0,0.247
E01000519,0,0.124
E01000520,0,0.423
E01000521,0,0.362
E01000522,0,0.066
E01000523,0,0.42
E01000524,0,0.48
E01000525,0,0.348
E01000526,0,0.478
E01000527,0,0.255
E01000528,0,0.468
E01000530,0,0.473
E01000531,0,0.324
E01000532,0,0.412
E01000533,0,0.31
E01000534,0,0.133
E01000535,0,0.329
E01000536,1,0.018
E01000538,1,0.006
E01000539,1,0.014
E01000540,1,0.02
E01000541,1,0.002
E01000543,0,0.197
E01000544,3,0.018
E01000545,0,0.183
E01000546,0,0.089
E01000547,0,0.075
E01000548,0,0.056
E01000549,3,0.028
E01000550,3,0.013
E01000551,0,0.093
E01000552,3,0.011
E01000553,0,0.111
E01000554,0,0.217
E01000555,0,0.217
E01000556,0,0.113
E01000557,0,0.223
E01000558,3,0.026
E01000559,0,0.184
E01000560,3,0.016
E01000561,3,0.015
E01000562,0,0.311
E01000563,0,0.119
E01000564,0,0.296
E01000565,0,0.13
E01000566,0,0.066
E01000567,0,0.288
E01000568,0,0.052
E01000569,0,0.126
E01000570,0,0.15
E01000571,0,0.442
E01000572,0,0.114
E01000573,0,0.108
E01000574,1,0.042
E01000575,0,0.285
E01000576,0,0.413
E01000577,2,0.042
E01000578,0,0.248
E01000579,0,0.22
E01000580,0,0.245
E01000581,0,0.448
E01000582,4,0.015
E01000583,3,0.023
E01000584,0,0.331
E01000585,0,0.429
E01000586,0,0.305
E01000587,0,0.182
E01000588,0,0.378
E01000589,1,0.01
E01000590,0,0.114
E01000591,2,0.015
E01000592,1,0.015
E01000593,1,0.007
E01000594,1,0.006
E01000595,0,0.157
E01000596,0,0.358
E01000599,0,0.07
E01000600,0,0.226
E01000601,0,0.365
E01000602,0,0.324
E01000603,0,0.411
E01000604,0,0.147
E01000605,0,0.449
E01000606,0,0.168
E01000607,0,0.209
E01000608,0,0.153
E01000609,0,0.303
E01000610,0,0.422
E01000611,0,0.387
E01000612,0,0.44
E01000613,0,0.489
E01000615,0,0.261
E01000616,0,0.359
E01000617,0,0.391
E01000618,0,0.115
E01000619,0,0.384
E01000620,0,0.105
E01000621,1,0.016
E01000622,0,0.479
E01000623,0,0.116
E01000624,0,0.486
E01000625,0,0.471
E01000626,0,0.195
E01000627,0,0.432
E01000628,0,0.393
E01000629,0,0.169
E01000630,0,0.116
E01000631,0,0.224
E01000632,1,0.023
E01000633,0,0.428
E01000634,0,0.294
E01000635,0,0.309
E01000636,0,0.306
E01000637,0,0.487
E01000638,0,0.212
E01000639,0,0.468
E01000640,0,0.119
E01000641,0,0.336
E01000642,0,0.253
E01000643,0,0.377
E01000644,0,0.181
E01000645,3,0.003
E01000646,0,0.216
E01000647,0,0.374
E01000648,0,0.19
E01000649,3,0.007
E01000650,0,0.283
E01000651,0,0.467
E01000652,0,0.266
E01000653,3,0.033
E01000655,0,0.455
E01000657,0,0.162
E01000658,0,0.301
E01000659,0,0.351
E01000661,0,0.451
E01000662,0,0.188
E01000663,0,0.072
E01000664,0,0.282
E01000665,3,0.012
E01000666,3,0.008
E01000667,3,0.047
E01000668,0,0.465
E01000669,0,0.205
E01000670,0,0.259
E01000671,0,0.48
E01000672,0,0.342
E01000673,3,0.003
E01000674,0,0.246
E01000675,0,0.165
E01000676,0,0.406
E01000677,0,0.108
E01000678,0,0.419
E01000679,0,0.424
E01000681,0,0.316
E01000682,0,0.393
E01000683,0,0.136
E01000684,0,0.282
E01000685,0,0.279
E01000686,0,0.465
E01000687,0,0.317
E01000688,0,0.362
E01000689,0,0.209
E01000690,0,0.419
E01000691,0,0.17
E01000692,0,0.071
E01000693,3,0.008
E01000694,3,0.016
E01000695,0,0.079
E01000696,3,0.003
E01000697,3,0.005
E01000698,0,0.23
E01000699,0,0.337
E01000700,1,0.027
E01000701,0,0.173
E01000702,0,0.257
E01000703,0,0.35
E01000704,0,0.198
E01000705,0,0.219
E01000706,0,0.125
E01000707,0,0.192
E01000708,1,0.042
E01000709,0,0.148
E01000710,3,0.002
E01000711,3,0.026
E01000712,3,0.001
E01000713,3,0.003
E01000714,3,0.034
E01000715,3,0.023
E01000716,0,0.066
E01000717,0,0.152
E01000718,3,0.004
E01000719,0,0.409
E01000721,0,0.457
E01000722,0,0.444
E01000723,0,0.237
E01000724,0,0.296
E01000725,0,0.098
E01000726,0,0.335
E01000727,0,0.154
E01000728,0,0.423
E01000729,0,0.267
E01000730,0,0.254
E01000731,0,0.491
E01000732,0,0.433
E01000733,0,0.167
E01000734,0,0.102
E01000735,0,0.064
E01000736,0,0.068
E01000737,0,0.377
E01000738,0,0.451
E01000739,0,0.227
E01000740,3,0.002
E01000741,3,0.02
E01000742,3,0.007
E01000743,3,0.035
E01000744,0,0.083
E01000745,3,0.001
E01000746,3,0.005
E01000747,0,0.066
E01000749,0,0.123
E01000750,0,0.221
E01000751,3,0.016
E01000752,0,0.409
E01000753,0,0.415
E01000754,0,0.383
E01000755,0,0.458
E01000756,0,0.059
E01000757,0,0.339
E01000758,0,0.371
E01000759,3,0.003
E01000760,0,0.306
E01000761,0,0.214
E01000762,0,0.171
E01000763,0,0.179
E01000764,0,0.226
E01000765,0,0.114
E01000766,0,0.328
E01000767,0,0.36
E01000768,0,0.486
E01000769,0,0.115
E01000770,0,0.447
E01000771,0,0.424
E01000772,0,0.071
E01000773,0,0.407
E01000774,1,0.034
E01000775,0,0.36
E01000777,0,0.382
E01000778,0,0.093
E01000779,0,0.065
E01000780,0,0.289
E01000781,0,0.362
E01000782,0,0.177
E01000783,0,0.329
E01000784,0,0.311
E01000785,0,0.051
E01000786,0,0.15
E01000787,0,0.183
E01000788,0,0.235
E01000789,0,0.07
E01000790,2,0.03
E01000791,0,0.185
E01000792,0,0.404
E01000793,0,0.225
E01000794,0,0.275
E01000795,0,0.268
E01000796,0,0.316
E01000797,0,0.287
E01000798,0,0.366
E01000799,0,0.356
E01000800,0,0.08
E01000801,0,0.496
E01000802,0,0.086
E01000803,0,0.481
E01000804,0,0.292
E01000805,0,0.412
E01000806,0,0.077
E01000807,0,0.103
E01000808,0,0.309
